Category,Name,Key,Parents,ParentsHidden,Siblings,PermWarp,StickyWarp,Tag,ItemTrigger,EntityTrigger,AspectTrigger
BASICS,"扭曲,咒波,所有那些坏东西",WARP,,,WARPWARNING,0,0,,,,
BASICS,研究,RESEARCH,,,WARPWARNING,0,0,,,,
BASICS,附魔,ENCHANT,,,,0,0,,,,
BASICS,灵气和节点,NODES,,,@TMNODES,0,0,,,,
BASICS,研究拷贝,RESEARCHDUPE,RESEARCHER2,,,0,0,12xSensus;12xCognitio;12xFabrico;9xLucrum;6xPerditio;3xPotentia,,,
BASICS,矿石,ORE,,,,0,0,,,,
BASICS,魔力要素,ASPECTS,,,,0,0,,,,
BASICS,知识碎片,KNOWFRAG,RESEARCH,,,0,0,,,,
BASICS,研究精通,RESEARCHER2,RESEARCHER1,,,1,1,9xCognitio;9xSensus;6xOrdo;6xLux;3xPermutatio,,,
BASICS,血腥崇拜,CRIMSON,,,,2,1,,,,
BASICS,缸中节点,NODEJAR,NODEPRESERVE,,,0,0,12xAuram;12xMotus;9xLucrum;6xPermutatio;3xVitreus,,,
BASICS,研究专长,RESEARCHER1,RESEARCH,,,0,0,6xCognitio;6xSensus;6xOrdo;3xLux,,,
BASICS,节点催生,NODECATALYZATION,NODEJAR;NODETAPPER2,JARLABEL,,4,4,20xAuram;15xVacuos;12xLucrum;9xAlienis;6xCognitio;3xPraecantatio,,,
BASICS,大师节点引流术,NODETAPPER2,NODETAPPER1,,,0,0,12xPermutatio;12xAuram;9xPraecantatio;6xMotus;3xPotentia,,,
BASICS,解构工作台,DECONSTRUCTOR,RESEARCHER1,,,0,0,9xSensus;9xAuram;6xLucrum;3xFames,,,
BASICS,扭曲警报,WARPWARNING,,,,0,0,,,,
BASICS,进阶节点引流术,NODETAPPER1,NODES,,,0,0,9xPermutatio;9xAuram;6xPraecantatio;3xMotus,,,
BASICS,魔导手册,THAUMONOMICON,RESEARCH,,,0,0,,,,
BASICS,植物&树木,PLANTS,,,,0,0,,,,
BASICS,节点防护术,NODEPRESERVE,NODETAPPER1,,,0,0,9xPerditio;9xCognitio;6xFabrico;3xInstrumentum,,,
BASICS,岩精,PECH,,,,0,0,,,,
THAUMATURGY,节点稳定器,NODESTABILIZER,NODEPRESERVE,,,0,0,9xAuram;9xPotentia;6xPraecantatio;3xOrdo,,,
THAUMATURGY,复合充能核心,WANDPEDFOC,WANDPED,,,0,0,15xInstrumentum;15xAuram;12xPraecantatio;12xPotentia;9xPermutatio;6xCognitio;3xLucrum,,,
THAUMATURGY,五阶升级:嗜血魔蝠,VAMPBAT,FOCUSHELLBAT,FOCALMANIPULATION,,2,2,15xFames;15xPraecantatio;12xVictus;12xExanimis;9xCognitio;3xIra;6xAlienis,,,
THAUMATURGY,白骨杖柄,ROD_bone,ROD_greatwood;INFUSION,,TB.ROD_bone,1,1,9xInstrumentum;9xPraecantatio;6xExanimis;6xPerditio;3xArbor,,,
THAUMATURGY,基础法杖工艺,BASICTHAUMATURGY,,,,0,0,,,,
THAUMATURGY,法杖核心:采掘,FOCUSEXCAVATION,FOCUSFIRE,,,0,0,9xTerra;9xPraecantatio;6xPerditio;3xMotus,,,
THAUMATURGY,工艺权杖,SCEPTRE,ROD_silverwood,,thaumicenergistics.Pseudo.SCEPTRE,0,0,12xInstrumentum;12xFabrico;9xArbor;6xPraecantatio;3xCognitio,,,
